,수금(백만원),설계원가(백만원),인건비(백만원),제경비(백만원),외주비(백만원),판관비(백만원),총원가(백만원),실행율(%),인건비율(%),제경비율(%),외주비율(%)
철도설계부,0.0,277.199648,114.579038,162.62061000000003,0.0,16.899244,294.09889200000003,0.0,41.33448178116012,58.66551821883987,0.0
철도건설관리부,11204.447156,6809.177437999999,3851.938854,1610.6636210000001,1346.574963,1100.8840930000001,7910.061530999999,60.77209650057276,56.569811685380266,23.654305320512933,19.775882994106816
도시계획부,0.0,0.1972,0.0,0.1972,0.0,0.0,0.1972,0.0,0.0,100.0,0.0
환경사업부,0.0,0.274068,0.274068,0.0,0.0,0.056983,0.331051,0.0,100.0,0.0,0.0
상하수도부,0.0,0.15505000000000002,0.15505000000000002,0.0,0.0,0.022469000000000003,0.177519,0.0,100.0,0.0,0.0
항만부,0.0,0.07422,0.07422,0.0,0.0,0.0,0.07422,0.0,100.0,0.0,0.0
건설사업관리부,11.527665,495.884811,494.24434399999996,1.6404670000000001,0.0,82.751569,578.63638,4301.69345656731,99.6691838581037,0.3308161418963083,0.0
수력부,0.0,0.14770199999999997,0.14682299999999998,0.000879,0.0,0.004365,0.15206699999999998,0.0,99.40488280456596,0.5951171954340498,0.0
민간사업팀,0.0,0.313673,0.313673,0.0,0.0,0.051635,0.36530799999999997,0.0,100.0,0.0,0.0
철도건설관리본부,0.797647,1.30276,0.0,1.30276,0.0,0.0,1.30276,163.32538077620802,0.0,100.0,0.0
건설사업관리본부,0.629422,0.033553,0.0,0.033553,0.0,0.0,0.033553,5.330763780103014,0.0,100.0,0.0
전체,11217.40189,7584.760123,4461.72607,1776.4590899999998,1346.574963,1200.670358,8785.430481,67.61601480786385,58.82488038705769,23.421427457053937,17.75369215588837
