,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,0.0,0.0,0.0,0.0,0.0
수금계획,0.0,0.0,0.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,0.0,0.0,0.0,3256390799.988426,3256390799.988426
인건비,0.0,0.0,0.0,0.0,0.0
제경비,0.0,0.0,0.0,162819539.99942133,162819539.99942133
외주비,0.0,0.0,0.0,218743262.28495544,218743262.28495544
실행원가,0.0,0.0,0.0,381562802.2843768,381562802.2843768
총원가,0.0,0.0,0.0,870021422.2826407,870021422.2826407
수금잔고,0.0,0.0,0.0,0.0,10043609200.011574
외주잔고,0.0,0.0,0.0,0.0,1270269966.9217722
손익,0.0,0.0,0.0,2386369377.7057858,2386369377.7057858
